month,date,ml_return,bh_return,n_selected,ml_cumulative,bh_cumulative
2022-01,2022-01-03,0.053809815407760996,0.03515808821773692,10,105380.9815407761,103515.8088217737
2022-02,2022-02-01,0.13766672842368338,0.05409171832587763,9,119888.43650757133,109115.15679483648
2022-03,2022-03-01,0.014057220823822714,0.022479336323859945,10,121573.73473378111,111567.99310245833
2022-04,2022-04-01,-0.11038523932964667,-0.10565255561513655,8,108153.7889289937,99780.54950633168
2022-05,2022-05-03,-0.0018413091716577852,-0.016431197165840183,10,107954.6443654892,98141.03562407727
2022-06,2022-06-01,-0.12494058655140212,-0.07017205104494227,11,94466.72777751695,91254.27786266101
2022-07,2022-07-01,0.03183773277998583,0.030107302348392085,8,97474.33421309722,94001.69799685632
2022-08,2022-08-01,-0.033841790424372555,-0.009333649438635115,9,94175.62822290233,93124.31910111722
2022-09,2022-09-01,0.045606668990946564,-0.029025001716928848,3,98470.66492627867,90421.38557931945
2022-10,2022-10-03,-0.015250359252917775,0.02361816834179564,4,96968.95191027924,92556.97308563022
2022-11,2022-11-01,0.10783718269477852,0.07794314533996376,5,107425.81049314921,99771.15469107061
2022-12,2022-12-01,-0.00865297591037396,0.015096725502614707,3,106496.25754279959,101277.3724265206
